4 & 0.697139 & -0.220224 & -0.768751 & 0.365163 & 2.51358 & 4.5149 \\
10 & 0.821045 & 0.00785616 & -1.36144 & -0.801571 & 1.82361 & 3.83 \\
20 & 0.843252 & 0.043507 & -2.11361 & -1.06262 & 1.24455 & 3.26818 \\
50 & 0.850155 & 0.0543607 & -2.30944 & -1.86933 & 0.341044 & 2.49633 \\
100 & 0.851202 & 0.0559969 & -2.18109 & -2.46733 & -0.881219 & 1.89877 \\
1000 & 0.8515 & 0.0562747 & -2.15945 & -4.12992 & -2.45956 & -0.895493 \\
