10 & 857 & 129 & 128 & 324 & 269 & 1144 & 402 & 1144 & 384 \\
100 & 115618 & 12830 & 12613 & 65886 & 61013 & 568584 & 165170 & 568584 & 147280 \\
1000 & 13546473 & - & - & 10194528 & 8969921 & - & - & - & - \\
10000 & 1384337487 & - & - & - & - & - & - & - & - \\
