10 & 6.8e-05 & 0.000125 & 0.000141 & 0.000114 & 8.4e-05 & 7.2e-05 & 0.000324 & 0.00011 & 0.000334 & 0.000106 \\
100 & 0.010808 & 0.008582 & 0.373747 & 0.361826 & 0.048235 & 0.044294 & 0.482366 & 0.124545 & 0.483686 & 0.108885 \\
1000 & 9.89616 & 2.66099 & - & - & 90.5831 & 80.3965 & - & - & - & - \\
10000 & 19811.3 & 411.259 & - & - & - & - & - & - & - & - \\
